'Time','PLETH',,,
'hh:mm:ss.mmm','NU',samples,first derivative,Second derivative
'[21:30:24.632 2]',547,1,0,0
'[21:30:24.640 2]',547,2,0,0
'[21:30:24.648 2]',547,3,0,-1
'[21:30:24.656 2]',547,4,-1,1
'[21:30:24.664 2]',546,5,0,0
'[21:30:24.672 2]',546,6,0,0
'[21:30:24.680 2]',546,7,0,0
'[21:30:24.688 2]',546,8,0,0
'[21:30:24.696 2]',546,9,0,0
'[21:30:24.704 2]',546,10,0,1
'[21:30:24.712 2]',546,11,1,-1
'[21:30:24.720 2]',547,12,0,1
'[21:30:24.728 2]',547,13,1,0
'[21:30:24.736 2]',548,14,1,0
'[21:30:24.744 2]',549,15,1,-1
'[21:30:24.752 2]',550,16,0,1
'[21:30:24.760 2]',550,17,1,0
'[21:30:24.768 2]',551,18,1,0
'[21:30:24.776 2]',552,19,1,-1
'[21:30:24.784 2]',553,20,0,1
'[21:30:24.792 2]',553,21,1,0
'[21:30:24.800 2]',554,22,1,-1
'[21:30:24.808 2]',555,23,0,1
'[21:30:24.816 2]',555,24,1,-1
'[21:30:24.824 2]',556,25,0,0
'[21:30:24.832 2]',556,26,0,1
'[21:30:24.840 2]',556,27,1,-1
'[21:30:24.848 2]',557,28,0,0
'[21:30:24.856 2]',557,29,0,-1
'[21:30:24.864 2]',557,30,-1,1
'[21:30:24.872 2]',556,31,0,0
'[21:30:24.880 2]',556,32,0,0
'[21:30:24.888 2]',556,33,0,-36
'[21:30:24.896 2]',556,34,-36,-18
'[21:30:24.904 2]',520,35,-54,27
'[21:30:24.912 2]',466,36,-27,12
'[21:30:24.920 2]',439,37,-15,7
'[21:30:24.928 2]',424,38,-8,4
'[21:30:24.936 2]',416,39,-4,1
'[21:30:24.944 2]',412,40,-3,1
'[21:30:24.952 2]',409,41,-2,1
'[21:30:24.960 2]',407,42,-1,-1
'[21:30:24.968 2]',406,43,-2,1
'[21:30:24.976 2]',404,44,-1,0
'[21:30:24.984 2]',403,45,-1,0
'[21:30:24.992 2]',402,46,-1,0
'[21:30:25.000 2]',401,47,-1,0
'[21:30:25.008 2]',400,48,-1,0
'[21:30:25.016 2]',399,49,-1,-1
'[21:30:25.024 2]',398,50,-2,1
'[21:30:25.032 2]',396,51,-1,0
'[21:30:25.040 2]',395,52,-1,-1
'[21:30:25.048 2]',394,53,-2,1
'[21:30:25.056 2]',392,54,-1,0
'[21:30:25.064 2]',391,55,-1,0
'[21:30:25.072 2]',390,56,-1,0
'[21:30:25.080 2]',389,57,-1,0
'[21:30:25.088 2]',388,58,-1,-1
'[21:30:25.096 2]',387,59,-2,1
'[21:30:25.104 2]',385,60,-1,0
