,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Time sysnchronised mean Pulse transit times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr.no,duration,Patient 1,Patient 2,Patient 3,Patient 4,Patient 5,Patient 6,Patient 7,Patient 8,Patient 9,Patient 10,Patient 11,Patient 12,Patient 13,Patient 14,Patient 15,Patient 16,Patient 17,Patient 18,Patient 19,Patient 20,Patient 21,Patient 22,Patient 23,Patient 24,Patient 25,Patient 26,Patient 27,Patient 28,Patient 29,Patient 30,Mean,Median,variance,,,,,
Reference at arrival (calibration- at rest),T1,358,376,371,396,393,353,327,385,358,346,356,351,326,339,369,343,338,388,362,347,390,331,378,364,353,346,377,348,355,352,"359,2","355,5","368,76",,,,,
reference (calibration -at rest),T2,420,365,369,339,419,370,348,354,371,419,368,322,331,372,354,418,344,341,414,368,420,365,371,385,339,411,334,418,350,359,"371,933333333333",368,"942,728888888889",,,,,
start of exercise,T3,358,372,412,435,439,416,388,412,445,357,427,383,401,365,374,442,430,437,372,387,363,375,422,383,398,431,391,437,349,353,"398,466666666667","394,5","922,782222222222",,,,,
increasing exercise,T4,306,349,335,309,364,377,312,295,308,382,280,308,370,306,335,385,291,378,298,287,280,302,312,370,282,377,358,366,326,285,"327,766666666667",312,"1270,17888888889",,,,,
increasing exercise,T5,291,280,363,371,368,337,302,324,306,338,333,365,333,346,359,370,282,282,261,374,271,373,362,355,363,336,371,307,285,267,"329,166666666667","336,5","1375,87222222222",,,,,
maximum exercise,T6,252,275,269,296,292,300,288,300,275,257,314,299,268,312,317,290,280,299,316,296,261,318,302,310,310,296,258,252,307,310,"290,633333333333",296,"422,165555555556",,,,,
after maximum exercise,T7,323,301,362,367,355,335,349,363,339,370,331,311,339,375,377,287,327,350,318,262,361,267,314,364,319,263,318,331,366,289,"331,1",333,"1093,49",,,,,
after maximum exercise,T8,330,325,318,330,387,367,340,303,303,376,359,363,360,390,334,362,346,317,369,394,330,409,395,371,394,322,338,370,371,383,"355,2",361,"846,093333333334",,,,,
recovery,T9,388,379,350,373,377,378,410,397,397,380,381,372,395,394,377,352,401,378,361,380,398,410,402,374,362,387,409,363,378,378,"382,7","379,5","254,21",,,,,
recovery,T10,404,403,362,368,367,388,385,389,369,386,386,367,353,386,357,387,354,359,413,405,410,409,405,418,394,388,418,376,394,387,"386,233333333333",387,"368,578888888889",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
