,,,,
,,,,
,,,r2 Linear regression,
,Patient,Data pairs (n),sBP,dBP
,1,10,"0,915948275862069","0,277161862527716"
,2,10,"0,940265486725664","0,286697247706422"
,3,10,"0,952914798206278","0,270562770562771"
,4,10,"0,970319634703196","0,279642058165548"
,5,10,"0,938189845474614","0,28735632183908"
,6,10,"0,948660714285714","0,27292576419214"
,7,10,"0,91792656587473","0,518433179723502"
,8,10,"0,942350332594235","0,281531531531532"
,9,10,"0,950782997762864","0,520833333333333"
,10,10,"0,955056179775281","0,272331154684096"
,11,10,"0,925925925925926","0,273522975929978"
,12,10,"0,97254004576659","0,533769063180828"
,13,10,"0,925925925925926","0,290697674418605"
,14,10,"0,944444444444444","0,055309734513274"
,15,10,"0,986078886310905","0,28604118993135"
,16,10,"0,974770642201835","0,282167042889391"
,17,10,"0,950782997762864","0,274122807017544"
,18,10,"0,959367945823928","0,289351851851852"
,19,10,"0,91991341991342","0,278396436525612"
,20,10,"0,988372093023256","0,275330396475771"
,21,10,"0,97254004576659","0,282805429864253"
,22,10,"0,957207207207207","0,278396436525612"
,23,10,"0,921908893709328","0,069832402234637"
,24,10,"0,97926267281106","0,159090909090909"
,25,10,"0,957207207207207","0,284738041002278"
,26,10,"0,940265486725664","0,510204081632653"
,27,10,"0,965909090909091","0,059952038369305"
,28,10,"0,952914798206278","0,270562770562771"
,29,10,"0,936123348017621","0,274122807017544"
,30,10,"0,97254004576659","0,282167042889391"
